,num_chunks,times,send_drop_used,recv_drop_used
425,0.01,425,137,135
426,0.01,426,115,115
427,0.01,427,135,134
428,0.01,428,136,134
429,0.01,429,137,135
430,0.01,430,115,115
431,0.01,431,115,115
432,0.01,432,115,115
433,0.01,433,135,134
434,0.01,434,115,115
435,0.01,435,139,136
436,0.01,436,137,135
437,0.01,437,137,135
438,0.01,438,140,136
439,0.01,439,137,135
440,0.01,440,115,115
441,0.01,441,135,134
442,0.01,442,115,115
443,0.01,443,135,134
444,0.01,444,122,121
445,0.01,445,136,134
446,0.01,446,140,136
447,0.01,447,115,115
448,0.01,448,138,135
449,0.01,449,115,115
450,0.01,450,135,134
451,0.01,451,138,135
452,0.01,452,136,134
453,0.01,453,136,134
454,0.01,454,115,115
455,0.01,455,135,134
456,0.01,456,115,115
457,0.01,457,115,115
458,0.01,458,115,115
459,0.01,459,137,135
460,0.01,460,115,115
461,0.01,461,115,115
462,0.01,462,115,115
463,0.01,463,135,134
464,0.01,464,135,134
465,0.01,465,115,115
466,0.01,466,135,134
467,0.01,467,137,134
468,0.01,468,135,134
469,0.01,469,127,126
470,0.01,470,135,134
471,0.01,471,115,115
472,0.01,472,136,134
473,0.01,473,137,135
474,0.01,474,135,134
475,0.01,475,115,115
476,0.01,476,137,135
477,0.01,477,135,134
478,0.01,478,138,135
479,0.01,479,115,115
480,0.01,480,115,115
481,0.01,481,137,135
482,0.01,482,119,118
483,0.01,483,135,134
484,0.01,484,115,115
485,0.01,485,137,135
486,0.01,486,142,137
487,0.01,487,135,134
488,0.01,488,140,136
489,0.01,489,115,115
490,0.01,490,115,115
491,0.01,491,136,134
492,0.01,492,115,115
493,0.01,493,135,134
494,0.01,494,136,134
495,0.01,495,135,134
496,0.01,496,135,134
497,0.01,497,115,115
498,0.01,498,139,136
499,0.01,499,115,115
500,0.01,500,135,133
501,0.01,501,135,134
502,0.01,502,137,135
503,0.01,503,135,134
504,0.01,504,118,117
505,0.01,505,115,115
506,0.01,506,141,137
507,0.01,507,115,115
508,0.01,508,115,115
509,0.01,509,136,134
510,0.01,510,137,135
511,0.01,511,115,115
512,0.01,512,115,115
513,0.01,513,135,134
514,0.01,514,115,115
515,0.01,515,115,115
516,0.01,516,115,115
517,0.01,517,137,135
518,0.01,518,136,134
519,0.01,519,135,134
520,0.01,520,141,136
521,0.01,521,135,134
522,0.01,522,115,115
523,0.01,523,115,115
524,0.01,524,118,117
525,0.01,525,115,115
526,0.01,526,135,134
527,0.01,527,135,134
528,0.01,528,115,115
529,0.01,529,140,136
530,0.01,530,135,134
531,0.01,531,136,134
532,0.01,532,141,137
533,0.01,533,139,136
534,0.01,534,115,115
535,0.01,535,131,130
536,0.01,536,136,134
537,0.01,537,123,122
538,0.01,538,137,134
539,0.01,539,135,134
540,0.01,540,115,115
541,0.01,541,137,135
542,0.01,542,135,134
543,0.01,543,115,115
544,0.01,544,139,135
545,0.01,545,115,115
546,0.01,546,138,135
547,0.01,547,135,134
548,0.01,548,116,115
549,0.01,549,135,134
550,0.01,550,115,115
551,0.01,551,115,115
552,0.01,552,141,137
553,0.01,553,138,135
554,0.01,554,115,115
555,0.01,555,135,134
556,0.01,556,138,135
557,0.01,557,139,136
558,0.01,558,137,135
559,0.01,559,115,115
560,0.01,560,136,134
561,0.01,561,135,134
562,0.01,562,115,115
563,0.01,563,115,115
564,0.01,564,137,135
565,0.01,565,137,135
566,0.01,566,115,115
567,0.01,567,137,134
568,0.01,568,115,115
569,0.01,569,135,134
570,0.01,570,135,134
571,0.01,571,136,134
572,0.01,572,126,125
573,0.01,573,122,121
574,0.01,574,137,135
575,0.01,575,135,134
576,0.01,576,136,134
577,0.01,577,115,115
578,0.01,578,135,134
579,0.01,579,139,136
580,0.01,580,135,134
581,0.01,581,133,132
582,0.01,582,127,126
583,0.01,583,135,134
584,0.01,584,137,135
585,0.01,585,135,134
586,0.01,586,115,115
587,0.01,587,138,135
588,0.01,588,115,115
589,0.01,589,137,135
590,0.01,590,135,134
591,0.01,591,135,134
592,0.01,592,139,136
593,0.01,593,115,115
594,0.01,594,115,115
595,0.01,595,135,134
596,0.01,596,135,134
597,0.01,597,115,115
598,0.01,598,135,134
599,0.01,599,137,135
600,0.01,600,115,115
601,0.01,601,125,124
602,0.01,602,137,135
603,0.01,603,139,136
604,0.01,604,115,115
605,0.01,605,135,134
606,0.01,606,115,115
607,0.01,607,139,136
608,0.01,608,135,134
609,0.01,609,137,134
610,0.01,610,139,136
611,0.01,611,139,136
612,0.01,612,139,136
613,0.01,613,135,134
614,0.01,614,132,131
615,0.01,615,115,115
616,0.01,616,137,135
617,0.01,617,137,135
618,0.01,618,135,134
619,0.01,619,115,115
620,0.01,620,115,115
621,0.01,621,115,115
622,0.01,622,135,134
623,0.01,623,135,134
624,0.01,624,115,115
625,0.01,625,136,134
626,0.01,626,115,115
627,0.01,627,135,134
628,0.01,628,137,135
629,0.01,629,115,115
630,0.01,630,137,135
631,0.01,631,135,134
632,0.01,632,137,135
633,0.01,633,115,115
634,0.01,634,135,134
635,0.01,635,115,115
636,0.01,636,135,134
637,0.01,637,115,115
638,0.01,638,121,120
639,0.01,639,135,134
640,0.01,640,115,115
641,0.01,641,135,134
642,0.01,642,115,115
643,0.01,643,135,134
644,0.01,644,117,116
645,0.01,645,135,134
646,0.01,646,138,134
647,0.01,647,135,134
648,0.01,648,115,115
649,0.01,649,137,135
650,0.01,650,115,115
651,0.01,651,115,115
652,0.01,652,135,134
653,0.01,653,139,136
654,0.01,654,137,135
655,0.01,655,138,135
656,0.01,656,139,136
657,0.01,657,135,134
658,0.01,658,135,134
659,0.01,659,135,134
660,0.01,660,115,115
661,0.01,661,140,136
662,0.01,662,135,134
663,0.01,663,122,121
664,0.01,664,137,135
665,0.01,665,115,115
666,0.01,666,137,135
667,0.01,667,139,136
668,0.01,668,115,115
669,0.01,669,125,124
670,0.01,670,118,117
671,0.01,671,137,135
672,0.01,672,115,115
673,0.01,673,135,134
674,0.01,674,136,134
675,0.01,675,136,134
676,0.01,676,135,134
677,0.01,677,136,134
678,0.01,678,137,135
679,0.01,679,138,135
680,0.01,680,135,134
681,0.01,681,115,115
682,0.01,682,123,122
683,0.01,683,137,135
684,0.01,684,139,136
685,0.01,685,116,115
686,0.01,686,115,115
687,0.01,687,115,115
688,0.01,688,137,135
689,0.01,689,137,135
690,0.01,690,135,134
691,0.01,691,137,135
692,0.01,692,115,115
693,0.01,693,135,134
694,0.01,694,115,115
695,0.01,695,115,115
696,0.01,696,126,125
697,0.01,697,139,136
698,0.01,698,136,134
699,0.01,699,115,115
700,0.01,700,138,135
701,0.01,701,135,134
702,0.01,702,135,134
703,0.01,703,115,115
704,0.01,704,115,115
705,0.01,705,119,118
706,0.01,706,135,134
707,0.01,707,137,135
708,0.01,708,135,134
709,0.01,709,135,134
710,0.01,710,135,134
711,0.01,711,135,134
712,0.01,712,115,115
713,0.01,713,135,134
714,0.01,714,115,115
715,0.01,715,115,115
716,0.01,716,115,115
717,0.01,717,136,134
718,0.01,718,136,134
719,0.01,719,115,115
720,0.01,720,137,135
721,0.01,721,115,115
722,0.01,722,137,135
723,0.01,723,136,134
724,0.01,724,135,134
725,0.01,725,135,134
726,0.01,726,137,135
727,0.01,727,135,134
728,0.01,728,141,137
729,0.01,729,135,134
730,0.01,730,115,115
731,0.01,731,115,115
732,0.01,732,115,115
733,0.01,733,115,115
734,0.01,734,115,115
735,0.01,735,115,115
736,0.01,736,138,135
737,0.01,737,137,135
738,0.01,738,115,115
739,0.01,739,137,135
740,0.01,740,137,135
741,0.01,741,137,135
742,0.01,742,115,115
743,0.01,743,138,135
744,0.01,744,137,135
745,0.01,745,115,115
746,0.01,746,115,115
747,0.01,747,137,135
748,0.01,748,135,134
749,0.01,749,136,134
750,0.01,750,141,137
751,0.01,751,118,117
752,0.01,752,115,115
753,0.01,753,135,134
754,0.01,754,138,135
755,0.01,755,115,115
756,0.01,756,115,115
757,0.01,757,135,134
758,0.01,758,137,135
759,0.01,759,137,135
760,0.01,760,135,134
761,0.01,761,133,132
762,0.01,762,115,115
763,0.01,763,137,135
764,0.01,764,135,134
765,0.01,765,137,135
766,0.01,766,115,115
767,0.01,767,135,134
768,0.01,768,115,115
769,0.01,769,135,134
770,0.01,770,139,136
771,0.01,771,115,115
772,0.01,772,137,135
773,0.01,773,135,134
774,0.01,774,137,135
775,0.01,775,137,135
776,0.01,776,135,134
777,0.01,777,115,115
778,0.01,778,115,115
779,0.01,779,141,137
780,0.01,780,115,115
781,0.01,781,135,134
782,0.01,782,144,138
783,0.01,783,135,134
784,0.01,784,135,134
785,0.01,785,135,134
786,0.01,786,115,115
787,0.01,787,115,115
788,0.01,788,115,115
789,0.01,789,115,115
790,0.01,790,115,115
791,0.01,791,115,115
792,0.01,792,140,136
793,0.01,793,115,115
794,0.01,794,135,134
795,0.01,795,137,135
796,0.01,796,135,134
797,0.01,797,115,115
798,0.01,798,138,135
799,0.01,799,115,115
800,0.01,800,115,115
801,0.01,801,124,123
802,0.01,802,135,134
803,0.01,803,115,115
804,0.01,804,115,115
805,0.01,805,139,136
806,0.01,806,139,136
807,0.01,807,115,115
808,0.01,808,136,134
809,0.01,809,118,117
810,0.01,810,137,135
811,0.01,811,137,135
812,0.01,812,137,135
813,0.01,813,135,134
814,0.01,814,137,135
815,0.01,815,137,135
816,0.01,816,142,137
817,0.01,817,139,136
818,0.01,818,135,134
819,0.01,819,115,115
820,0.01,820,115,115
821,0.01,821,132,131
822,0.01,822,115,115
823,0.01,823,139,136
824,0.01,824,115,115
825,0.01,825,115,115
826,0.01,826,141,136
827,0.01,827,115,115
828,0.01,828,135,134
829,0.01,829,136,134
830,0.01,830,135,134
831,0.01,831,143,138
832,0.01,832,138,135
833,0.01,833,137,135
834,0.01,834,137,135
835,0.01,835,135,134
836,0.01,836,115,115
837,0.01,837,135,134
838,0.01,838,137,135
839,0.01,839,135,134
840,0.01,840,137,135
841,0.01,841,115,115
842,0.01,842,135,134
843,0.01,843,115,115
844,0.01,844,137,135
845,0.01,845,135,134
846,0.01,846,139,136
847,0.01,847,115,115
848,0.01,848,137,135
849,0.01,849,135,134
850,0.01,850,124,123
851,0.01,851,118,117
852,0.01,852,115,115
853,0.01,853,140,136
854,0.01,854,118,117
855,0.01,855,142,137
856,0.01,856,135,134
857,0.01,857,138,135
858,0.01,858,137,135
859,0.01,859,135,134
860,0.01,860,135,134
861,0.01,861,135,134
862,0.01,862,135,134
863,0.01,863,127,125
864,0.01,864,137,135
865,0.01,865,135,134
866,0.01,866,115,115
867,0.01,867,115,115
868,0.01,868,137,135
869,0.01,869,137,135
870,0.01,870,135,134
871,0.01,871,115,115
872,0.01,872,115,115
873,0.01,873,139,136
874,0.01,874,139,135
875,0.01,875,135,134
876,0.01,876,135,134
877,0.01,877,126,125
878,0.01,878,141,137
879,0.01,879,117,116
880,0.01,880,135,134
881,0.01,881,137,135
882,0.01,882,141,137
883,0.01,883,115,115
884,0.01,884,115,115
885,0.01,885,135,134
886,0.01,886,133,132
887,0.01,887,137,135
888,0.01,888,115,115
889,0.01,889,118,117
890,0.01,890,115,115
891,0.01,891,135,134
892,0.01,892,115,115
893,0.01,893,137,135
894,0.01,894,115,115
895,0.01,895,137,135
896,0.01,896,135,134
897,0.01,897,115,115
898,0.01,898,141,137
899,0.01,899,135,134
900,0.01,900,141,137
901,0.01,901,137,135
902,0.01,902,119,118
903,0.01,903,121,120
904,0.01,904,115,115
905,0.01,905,137,135
906,0.01,906,137,135
907,0.01,907,115,115
908,0.01,908,140,136
909,0.01,909,135,134
910,0.01,910,115,115
911,0.01,911,135,134
912,0.01,912,115,115
913,0.01,913,135,134
914,0.01,914,115,115
915,0.01,915,137,135
916,0.01,916,137,135
917,0.01,917,136,134
918,0.01,918,115,115
919,0.01,919,135,134
920,0.01,920,135,134
921,0.01,921,115,115
922,0.01,922,115,115
923,0.01,923,135,134
924,0.01,924,136,134
925,0.01,925,135,134
926,0.01,926,139,135
927,0.01,927,115,115
928,0.01,928,137,135
929,0.01,929,137,135
930,0.01,930,115,115
931,0.01,931,115,115
932,0.01,932,137,134
933,0.01,933,139,136
934,0.01,934,135,134
935,0.01,935,137,135
936,0.01,936,115,115
937,0.01,937,135,134
938,0.01,938,135,134
939,0.01,939,115,115
940,0.01,940,136,134
941,0.01,941,137,135
942,0.01,942,135,134
943,0.01,943,139,136
944,0.01,944,135,134
945,0.01,945,115,115
946,0.01,946,141,137
947,0.01,947,138,135
948,0.01,948,137,134
949,0.01,949,115,115
950,0.01,950,135,134
951,0.01,951,135,134
952,0.01,952,137,135
953,0.01,953,137,135
954,0.01,954,135,134
955,0.01,955,115,115
956,0.01,956,139,136
957,0.01,957,136,134
958,0.01,958,135,134
959,0.01,959,140,136
960,0.01,960,115,115
961,0.01,961,135,134
962,0.01,962,137,135
963,0.01,963,140,136
964,0.01,964,130,129
965,0.01,965,115,115
966,0.01,966,137,135
967,0.01,967,135,134
968,0.01,968,141,137
969,0.01,969,141,137
970,0.01,970,135,134
971,0.01,971,115,115
972,0.01,972,135,134
973,0.01,973,115,115
974,0.01,974,137,135
975,0.01,975,135,134
976,0.01,976,135,134
977,0.01,977,115,115
978,0.01,978,115,115
979,0.01,979,135,134
980,0.01,980,115,115
981,0.01,981,115,115
982,0.01,982,135,134
983,0.01,983,135,134
984,0.01,984,135,134
985,0.01,985,136,134
986,0.01,986,134,133
987,0.01,987,137,135
988,0.01,988,139,136
989,0.01,989,116,115
990,0.01,990,115,115
991,0.01,991,135,134
992,0.01,992,115,115
993,0.01,993,115,115
994,0.01,994,135,134
995,0.01,995,135,134
996,0.01,996,115,115
997,0.01,997,143,138
998,0.01,998,139,136
999,0.01,999,116,115
