,num_chunks,times,send_drop_used,recv_drop_used
186,200,186,245,229
187,200,187,235,226
188,200,188,235,226
189,200,189,230,223
190,200,190,239,228
191,200,191,232,225
192,200,192,234,225
193,200,193,236,226
194,200,194,238,227
195,200,195,238,229
196,200,196,234,225
197,200,197,234,225
198,200,198,234,226
199,200,199,234,225
200,200,200,236,226
201,200,201,235,226
202,200,202,235,226
203,200,203,234,226
204,200,204,244,230
205,200,205,231,224
206,200,206,240,229
207,200,207,232,224
208,200,208,237,226
209,200,209,239,227
210,200,210,235,226
211,200,211,245,232
212,200,212,250,233
213,200,213,231,224
214,200,214,236,227
215,200,215,233,225
216,200,216,251,235
217,200,217,242,229
218,200,218,238,227
219,200,219,232,224
220,200,220,235,226
221,200,221,256,240
222,200,222,234,225
223,200,223,235,228
224,200,224,234,225
225,200,225,225,221
226,200,226,245,232
227,200,227,262,244
228,200,228,233,225
229,200,229,231,223
230,200,230,240,228
231,200,231,259,246
232,200,232,242,230
233,200,233,236,226
234,200,234,250,238
235,200,235,240,230
236,200,236,237,227
237,200,237,240,226
238,200,238,236,228
239,200,239,235,226
240,200,240,231,223
241,200,241,232,225
242,200,242,235,226
243,200,243,247,233
244,200,244,236,227
245,200,245,236,227
246,200,246,234,225
247,200,247,237,227
248,200,248,234,224
249,200,249,244,233
250,200,250,235,226
251,200,251,232,223
252,200,252,229,223
253,200,253,244,230
254,200,254,231,224
255,200,255,232,224
256,200,256,235,224
257,200,257,246,229
258,200,258,233,225
259,200,259,239,227
260,200,260,224,221
261,200,261,235,226
262,200,262,234,224
263,200,263,232,224
264,200,264,230,223
265,200,265,234,226
266,200,266,238,228
267,200,267,240,228
268,200,268,238,228
269,200,269,231,224
270,200,270,234,225
271,200,271,242,229
272,200,272,238,226
273,200,273,251,238
274,200,274,233,225
275,200,275,231,224
276,200,276,251,234
277,200,277,237,227
278,200,278,229,223
279,200,279,235,226
280,200,280,233,225
281,200,281,230,224
282,200,282,227,221
283,200,283,241,229
284,200,284,234,226
285,200,285,238,228
286,200,286,232,223
287,200,287,248,235
288,200,288,232,223
289,200,289,236,225
290,200,290,228,223
291,200,291,242,229
292,200,292,228,222
293,200,293,230,224
294,200,294,232,225
295,200,295,234,226
296,200,296,243,231
297,200,297,235,226
298,200,298,235,225
299,200,299,225,221
300,200,300,239,229
301,200,301,231,224
302,200,302,231,224
303,200,303,231,223
304,200,304,241,228
305,200,305,226,222
306,200,306,230,223
307,200,307,229,222
308,200,308,248,229
309,200,309,235,227
310,200,310,232,225
311,200,311,240,228
312,200,312,252,236
313,200,313,241,230
314,200,314,242,232
315,200,315,233,225
316,200,316,244,233
317,200,317,244,231
318,200,318,227,222
319,200,319,236,226
320,200,320,235,226
321,200,321,236,226
322,200,322,241,228
323,200,323,239,228
324,200,324,229,223
325,200,325,228,221
326,200,326,241,229
327,200,327,235,226
328,200,328,232,225
329,200,329,236,226
330,200,330,247,232
331,200,331,228,223
332,200,332,254,237
333,200,333,229,223
334,200,334,228,222
335,200,335,246,230
336,200,336,224,221
337,200,337,233,225
338,200,338,231,224
339,200,339,229,223
340,200,340,229,223
341,200,341,227,222
342,200,342,232,225
343,200,343,240,231
344,200,344,236,226
345,200,345,244,230
346,200,346,230,224
347,200,347,246,230
348,200,348,228,223
349,200,349,234,224
350,200,350,233,225
351,200,351,239,227
352,200,352,224,221
353,200,353,240,229
354,200,354,237,227
355,200,355,237,226
356,200,356,226,221
357,200,357,250,237
358,200,358,237,227
359,200,359,232,224
360,200,360,227,222
361,200,361,233,225
362,200,362,227,222
363,200,363,227,222
364,200,364,228,223
365,200,365,240,228
366,200,366,230,223
367,200,367,231,223
368,200,368,228,223
369,200,369,245,231
370,200,370,242,228
371,200,371,239,228
372,200,372,241,229
373,200,373,240,228
374,200,374,250,233
375,200,375,235,226
376,200,376,243,232
377,200,377,234,225
378,200,378,241,227
379,200,379,250,234
380,200,380,241,228
381,200,381,242,230
382,200,382,227,222
383,200,383,231,224
384,200,384,239,229
385,200,385,241,229
386,200,386,232,225
387,200,387,236,226
388,200,388,235,225
389,200,389,241,228
390,200,390,249,236
391,200,391,238,228
392,200,392,237,227
393,200,393,254,237
394,200,394,239,228
395,200,395,235,226
396,200,396,247,232
397,200,397,227,221
398,200,398,237,227
399,200,399,235,226
400,200,400,233,225
401,200,401,244,230
402,200,402,229,223
403,200,403,236,228
404,200,404,234,225
405,200,405,243,229
406,200,406,242,229
407,200,407,234,225
408,200,408,231,224
409,200,409,237,226
410,200,410,224,221
411,200,411,248,232
412,200,412,245,233
413,200,413,226,221
414,200,414,245,230
415,200,415,228,223
416,200,416,230,224
417,200,417,237,226
418,200,418,228,222
419,200,419,238,227
420,200,420,234,225
421,200,421,226,222
422,200,422,237,227
423,200,423,239,228
424,200,424,228,223
425,200,425,238,227
426,200,426,228,223
427,200,427,249,235
428,200,428,228,222
429,200,429,232,225
430,200,430,233,226
431,200,431,237,226
432,200,432,226,221
433,200,433,226,221
434,200,434,226,221
435,200,435,226,222
436,200,436,246,235
437,200,437,233,225
438,200,438,222,220
439,200,439,232,225
440,200,440,230,224
441,200,441,236,226
442,200,442,228,223
443,200,443,259,242
444,200,444,233,224
445,200,445,221,219
446,200,446,237,226
447,200,447,241,227
448,200,448,232,225
449,200,449,232,225
450,200,450,235,226
451,200,451,255,240
452,200,452,237,227
453,200,453,235,226
454,200,454,226,221
455,200,455,229,223
456,200,456,235,226
457,200,457,225,221
458,200,458,265,242
459,200,459,229,223
460,200,460,238,225
461,200,461,232,224
462,200,462,234,224
463,200,463,240,228
464,200,464,239,228
465,200,465,244,230
466,200,466,235,226
467,200,467,225,221
468,200,468,246,234
469,200,469,225,221
470,200,470,232,225
471,200,471,231,224
472,200,472,235,226
473,200,473,233,224
474,200,474,234,225
475,200,475,229,223
476,200,476,232,225
477,200,477,234,224
478,200,478,233,224
479,200,479,230,223
480,200,480,228,222
481,200,481,242,228
